,id,vehicle.trip.trip_id,vehicle.trip.start_time,vehicle.trip.start_date,vehicle.trip.schedule_relationship,vehicle.trip.route_id,vehicle.trip.direction_id,vehicle.position.latitude,vehicle.position.longitude,vehicle.position.bearing,vehicle.position.speed,vehicle.current_stop_sequence,vehicle.current_status,vehicle.timestamp,vehicle.stop_id,vehicle.vehicle.id,vehicle.vehicle.label,vehicle.occupancy_status
37,7220,9625100,10:45:00,20260216,0.0,D40,0.0,38.907310485839844,-77.02191925048828,357.0,8.53439998626709,11.0,1.0,1771257526,6316,7220,7220,1
38,7223,28463100,10:30:00,20260216,0.0,D40,0.0,38.9397087097168,-77.02497100830078,345.0,6.705599784851074,28.0,1.0,1771257525,8038,7223,7223,2
39,2838,5208100,10:24:00,20260216,0.0,C53,1.0,38.89360046386719,-76.99495697021484,180.0,11.277600288391113,33.0,1.0,1771257525,5367,2838,2838,1
42,5509,3131100,11:15:00,20260216,0.0,D40,0.0,38.89208984375,-77.02387237548828,,0.0,2.0,1.0,1771257525,21789,5509,5509,7
45,5505,6934100,11:15:00,20260216,0.0,D40,1.0,38.99338150024414,-77.02945709228516,,0.0,2.0,1.0,1771257519,18907,5505,5505,7
46,5513,16087100,10:45:00,20260216,0.0,D40,1.0,38.97758102416992,-77.02648162841797,185.0,12.496800422668457,12.0,1.0,1771257527,27967,5513,5513,7
48,5525,35152100,11:00:00,20260216,0.0,D40,1.0,38.993408203125,-77.03011322021484,,0.0,2.0,1.0,1771257525,18907,5525,5525,7
51,5538,21117100,10:48:00,20260216,0.0,C53,0.0,38.85065841674805,-76.97537231445312,,0.0,9.0,2.0,1771257522,2793,5538,5538,7
52,5539,13300100,10:36:00,20260216,0.0,C53,0.0,38.86600875854492,-76.98088073730469,284.0,6.4008002281188965,20.0,1.0,1771257516,17578,5539,5539,7
53,7146,20942100,11:00:00,20260216,0.0,D96,1.0,38.984588623046875,-77.09590148925781,,0.0,2.0,1.0,1771257521,28523,7146,7146,7
54,4582,30095100,10:30:00,20260216,0.0,D96,1.0,38.931888580322266,-77.07765197753906,134.0,12.192000389099121,37.0,1.0,1771257533,7639,4582,4582,7
56,5463,698100,10:36:00,20260216,0.0,C53,1.0,38.911128997802734,-77.00984191894531,,0.0,21.0,2.0,1771257533,6567,5463,5463,1
58,5466,25836100,11:00:00,20260216,0.0,C53,0.0,38.845279693603516,-76.98761749267578,,0.0,2.0,1.0,1771257537,13111,5466,5466,7
59,5470,8560100,10:48:00,20260216,0.0,C53,1.0,38.91699981689453,-77.03653717041016,87.0,8.839200019836426,9.0,1.0,1771257532,6879,5470,5470,1
63,5479,842100,10:24:00,20260216,0.0,C53,0.0,38.88071060180664,-76.99497985839844,3.0,7.619999885559082,29.0,1.0,1771257533,4520,5479,5479,1
64,7220,9625100,10:45:00,20260216,0.0,D40,0.0,38.907711029052734,-77.02191925048828,359.0,11.277600288391113,11.0,1.0,1771257530,6316,7220,7220,1
66,2838,5208100,10:24:00,20260216,0.0,C53,1.0,38.89263153076172,-76.99495697021484,180.0,11.58240032196045,34.0,1.0,1771257535,5252,2838,2838,1
74,5516,5358100,10:00:00,20260216,0.0,C53,1.0,38.850650787353516,-76.9754867553711,,0.0,61.0,1.0,1771257534,2787,5516,5516,7
77,5537,5326100,10:12:00,20260216,0.0,C53,1.0,38.86684036254883,-76.98551177978516,,0.0,47.0,1.0,1771257535,3736,5537,5537,7
84,5464,14078100,10:00:00,20260216,0.0,C53,0.0,38.916168212890625,-77.02163696289062,,0.0,52.0,1.0,1771257541,6843,5464,5464,1
88,5475,14639100,11:12:00,20260216,0.0,C53,0.0,38.84621047973633,-76.98796844482422,,0.0,2.0,1.0,1771257545,13111,5475,5475,7
91,7220,9625100,10:45:00,20260216,0.0,D40,0.0,38.90909957885742,-77.02191925048828,5.0,7.924799919128418,12.0,1.0,1771257546,6458,7220,7220,1
93,2838,5208100,10:24:00,20260216,0.0,C53,1.0,38.89202880859375,-76.99495697021484,180.0,11.887200355529785,34.0,1.0,1771257540,5252,2838,2838,1
94,2836,20534100,11:00:00,20260216,0.0,C53,1.0,38.923561096191406,-77.05152893066406,271.0,7.619999885559082,2.0,1.0,1771257544,7272,2836,2836,7
95,4603,6905100,10:25:00,20260216,0.0,D96,0.0,38.94607925415039,-77.09706115722656,,0.0,45.0,1.0,1771257540,8329,4603,4603,7
97,5500,17298100,11:00:00,20260216,0.0,D40,0.0,38.89236068725586,-77.02388763427734,349.0,3.352799892425537,2.0,1.0,1771257538,21789,5500,5500,7
98,5501,7421100,10:30:00,20260216,0.0,D40,1.0,38.94208908081055,-77.02557373046875,,0.0,29.0,1.0,1771257540,8180,5501,5501,2
100,5513,16087100,10:45:00,20260216,0.0,D40,1.0,38.97639846801758,-77.026611328125,184.0,10.668000221252441,13.0,1.0,1771257538,9532,5513,5513,7
102,5525,35152100,11:00:00,20260216,0.0,D40,1.0,38.993408203125,-77.03011322021484,,0.0,2.0,1.0,1771257543,18907,5525,5525,7
103,5533,28262100,10:15:00,20260216,0.0,D40,0.0,38.97248077392578,-77.02700805664062,3.0,8.229599952697754,45.0,1.0,1771257542,19057,5533,5533,7
105,5538,21117100,10:48:00,20260216,0.0,C53,0.0,38.85074996948242,-76.97508239746094,66.0,5.486400127410889,9.0,1.0,1771257540,2793,5538,5538,7
106,5539,13300100,10:36:00,20260216,0.0,C53,0.0,38.866119384765625,-76.98136138916016,281.0,3.962399959564209,20.0,1.0,1771257546,17578,5539,5539,7
109,5461,18632100,09:36:00,20260216,0.0,C53,0.0,38.92353057861328,-77.0519790649414,,0.0,63.0,1.0,1771257550,7219,5461,5461,7
110,5463,698100,10:36:00,20260216,0.0,C53,1.0,38.91106033325195,-77.00965881347656,118.0,3.0480000972747803,21.0,1.0,1771257558,6567,5463,5463,1
114,5473,22340100,11:24:00,20260216,0.0,C53,1.0,38.92433166503906,-77.05261993408203,,0.0,2.0,1.0,1771257548,7272,5473,5473,1
116,5481,1115100,10:12:00,20260216,0.0,C53,0.0,38.90610122680664,-76.99799346923828,,0.0,42.0,2.0,1771257556,6299,5481,5481,1
119,7223,28463100,10:30:00,20260216,0.0,D40,0.0,38.9405517578125,-77.0251693725586,,0.0,29.0,2.0,1771257555,8125,7223,7223,2
